State	EV_D	EV_R	Total Vote	D	R	Other	D	R	Other
Alabama	0	9	"2,074,338"	 38.36%	 60.55%	 1.10%	"795,696"	"1,255,925"	" 22,717"
Alaska	0	3	"300,495"	 40.81%	 54.80%	 4.39%	"122,640"	"164,676"	" 13,179"
Arizona	0	11	"2,306,559"	 44.45%	 53.48%	 2.07%	"1,025,232"	"1,233,654"	" 47,673"
Arkansas	0	6	"1,069,468"	 36.88%	 60.57%	 2.55%	"394,409"	"647,744"	" 27,315"
California	55	0	"13,055,815"	 60.16%	 37.07%	 2.77%	"7,854,285"	"4,839,958"	" 361,572"
Colorado	9	0	"2,571,846"	 51.45%	 46.09%	 2.47%	"1,323,102"	"1,185,243"	" 63,501"
Connecticut	7	0	"1,558,993"	 58.06%	 40.72%	 1.22%	"905,109"	"634,899"	" 18,985"
Delaware	3	0	"413,921"	 58.61%	 39.98%	 1.41%	"242,584"	"165,484"	" 5,853"
D. C.	3	0	"293,764"	 90.91%	 7.28%	 1.81%	"267,070"	"21,381"	" 5,313"
Florida	29	0	"8,492,175"	 49.90%	 49.03%	 1.07%	"4,237,756"	"4,163,447"	" 90,972"
Georgia	0	16	"3,908,369"	 45.39%	 53.19%	 1.43%	"1,773,827"	"2,078,688"	" 55,854"
Hawaii	4	0	"434,697"	 70.55%	 27.84%	 1.62%	"306,658"	"121,015"	" 7,024"
Idaho	0	4	"656,742"	 32.40%	 64.09%	 3.51%	"212,787"	"420,911"	" 23,044"
Illinois	20	0	"5,251,432"	 57.50%	 40.66%	 1.84%	"3,019,512"	"2,135,216"	" 96,704"
Indiana	0	11	"2,633,143"	 43.84%	 54.04%	 2.13%	"1,154,275"	"1,422,872"	" 55,996"
Iowa	6	0	"1,582,180"	 51.99%	 46.18%	 1.83%	"822,544"	"730,617"	" 29,019"
Kansas	0	6	"1,157,532"	 38.00%	 59.59%	 2.40%	"439,908"	"689,809"	" 27,815"
Kentucky	0	8	"1,798,048"	 37.78%	 60.47%	 1.75%	"679,370"	"1,087,190"	" 31,488"
Louisiana	0	8	"1,994,065"	 40.58%	 57.78%	 1.64%	"809,141"	"1,152,262"	" 32,662"
Maine	4	0	"713,180"	 56.27%	 40.98%	 2.75%	"401,306"	"292,276"	" 19,598"
Maryland	10	0	"2,707,327"	 61.97%	 35.90%	 2.13%	"1,677,844"	"971,869"	" 57,614"
Massachusetts	11	0	"3,167,767"	 60.67%	 37.52%	 1.82%	"1,921,761"	"1,188,460"	" 57,546"
Michigan	16	0	"4,745,316"	 54.04%	 44.58%	 1.38%	"2,564,569"	"2,115,256"	" 65,491"
Minnesota	10	0	"2,936,561"	 52.65%	 44.96%	 2.39%	"1,546,167"	"1,320,225"	" 70,169"
Mississippi	0	6	"1,285,584"	 43.79%	 55.29%	 0.92%	"562,949"	"710,746"	" 11,889"
